"Inkomen van personen; inkomensklassen, persoonskenmerken"
""
"";""
"";"Kenmerken van personen";"Totaal personen";"Totaal personen";"Totaal personen"
"";"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"";"Perioden";"2021";"2021";"2021"
"";"Onderwerp";"Personen met inkomen";"Gemiddeld inkomen";"Mediaan inkomen"
"Inkomensbegrippen";"Inkomensklassen";"x 1 000";"1 000 euro";"1 000 euro"
"Persoonlijk inkomen";"Totaal";"13960,8";"35,7";"28,1"
"Persoonlijk inkomen";"Inkomen: minder dan 10 000 euro";"1826,9";"4,1";"3,9"
"Persoonlijk inkomen";"Inkomen: 10 000 tot 20 000 euro";"3107,2";"15,1";"15,6"
"Persoonlijk inkomen";"Inkomen: 20 000 tot 30 000 euro";"2482,9";"24,9";"24,8"
"Persoonlijk inkomen";"Inkomen: 30 000 tot 40 000 euro";"2058,7";"34,8";"34,8"
"Persoonlijk inkomen";"Inkomen: 40 000 tot 50 000 euro";"1545,4";"44,7";"44,5"
"Persoonlijk inkomen";"Inkomen: 50 000 tot 100 000 euro";"2454,9";"66,5";"63,4"
"Persoonlijk inkomen";"Inkomen: 100 000 tot 200 000 euro";"415,0";"129,6";"122,2"
"Persoonlijk inkomen";"Inkomen: 200 000 euro of meer";"69,8";"346,9";"258,4"
"Bron: CBS"
